	x
531	YBR187W
532	YDL150W
533	YGR173W
534	YGL246C
535	YNL210W
536	YLR041W
537	YMR308C
538	YHR170W
539	YDR185C
540	YNL002C
541	YHR153C
542	YLR154W-E
543	YPR175W
544	YNL043C
545	YMR290W-A
546	YLR276C
547	YCR045C
548	YDL084W
549	YJL092W
550	YKL183W
551	YGL068W
552	YMR217W
553	YNL066W
554	YDR035W
555	YGL077C
556	YPL266W
557	YBR177C
558	YPL163C
559	YFR005C
560	YFL031W
561	YOR254C
562	YLL038C
563	YDR413C
564	YMR199W
565	YNL255C
566	YLR008C
567	YER090W
568	YGL162W
569	YHR172W
570	YHR018C
571	YCL059C
572	YJL198W
573	YGL117W
574	YOR276W
575	YBR175W
576	YOL007C
577	YFL037W
578	YDR465C
579	YFR009W
580	YDR172W
581	YOL080C
582	YAL059C-A
583	YEL055C
584	YLR044C
585	YGR271C-A
586	YER146W
587	YJL069C
588	YLR400W
589	YER025W
590	YAL007C
591	YCR016W
592	YMR318C
593	YDL219W
594	YPR190C
595	YOR168W
596	YKR026C
597	YMR235C
598	YFR028C
599	YLR106C
600	YGR162W
601	YJL011C
602	YNR038W
603	YGR038C-B
604	YMR274C
605	YDL040C
606	YJL208C
607	YHR162W
608	YLR249W
609	YDL055C
610	YDL085C-A
611	YBL055C
612	YKR090W
613	YPL226W
614	YER014C-A
615	YDL157C
616	YJL035C
617	YOL093W
618	YNL110C
619	YDR161W
620	YEL073C
621	YHR174W
622	YPL183C
623	YDR339C
624	YBR017C
625	YOL124C
626	YCR090C
627	YHR169W
628	YLR130C
629	YOR277C
630	YKL184W
631	YPL244C
632	YJR010C-A
633	YLR363W-A
634	YGR074W
635	YER145C-A
636	YDR257C
637	YLL002W
638	YIL145C
639	YBR089W
640	YOR078W
641	YMR259C
642	YGR169C
643	YDR395W
644	YLR342W
645	YPR183W
646	YDR037W
647	YHR013C
648	YBL054W
649	YMR177W
650	YKL057C
651	YOR212W
652	YLR452C
653	YJL091C
654	YOR091W
655	YCR065W
656	YDL131W
657	YDR451C
658	YNL114C
659	YJL217W
660	YIL103W
661	YML124C
662	YNL113W
663	YNL289W
664	YGL225W
665	YPL043W
666	YMR079W
667	YOR210W
668	YPL126W
669	YBR243C
670	YIL064W
671	YDR454C
672	YMR233W
673	YKR013W
674	YOL058W
675	YNL089C
676	YOL029C
677	YCR053W
678	YDR183C-A
679	YPL212C
680	YGL028C
681	YLR049C
682	YNL254C
683	YOR253W
684	YDL205C
685	YBR174C
686	YER009W
687	YPL237W
688	YNL022C
689	YOR046C
690	YGR151C
691	YDR266C
692	YDR226W
693	YBR061C
694	YLR172C
695	YGR158C
696	YER110C
697	YOR207C
698	YLR355C
699	YML060W
700	YMR062C
701	YML085C
702	YOR021C
703	YKR042W
704	YHR133C
705	YNL078W
706	YNR003C
707	YDR134C
708	YLR192C
709	YMR146C
710	YNL308C
711	YBR088C
712	YLR285W
713	YNL154C
714	YGL092W
715	YDL198C
716	YJR147W
717	YIL131C
718	YJR069C
719	YKL101W
720	YKL083W
721	YHR041C
722	YAR028W
723	YMR241W
724	YDR190C
725	YGL088W
726	YHR123W
727	YNL058C
728	YBR038W
729	YIL110W
730	YPR016C
731	YHR142W
732	YDR133C
733	YMR243C
734	YNL119W
735	YDL121C
736	YAR064W
737	YOR269W
738	YDR268W
739	YML096W
740	YJR007W
741	YKL127W
742	YGL039W
743	YML080W
744	YBR096W
745	YIL008W
746	YBL032W
747	YHR085W
748	YDR400W
749	YHR081W
750	YGR083C
751	YCL025C
752	YBR087W
753	YDR045C
754	YMR014W
755	YOR101W
756	YGR245C
757	YMR303C
758	YNR046W
759	YGR265W
760	YJL075C
761	YKL191W
762	YPR041W
763	YGR208W
764	YPL256C
765	YGR064W
766	YCR043C
767	YDR020C
768	YGR169C-A
769	YMR203W
770	YKL130C
771	YLR068W
772	YGR172C
773	YJL181W
774	YJL125C
775	YPL199C
776	YMR269W
777	YLR384C
778	YKL212W
779	YJR003C
780	YJL025W
781	YLR063W
782	YNL090W
783	YDL062W
784	YGR078C
785	YPR118W
786	YKL119C
787	YGL200C
788	YDR252W
789	YPL235W
790	YBR009C
791	YLR065C
792	YOL139C
793	YLR157C-B
794	YBR246W
795	YBL083C
796	YHR182C-A
797	YIL021W
798	YGR138C
799	YDR398W
800	YCR045W-A
801	YHL003C
802	YBL082C
803	YJR132W
804	YDR404C
805	YJL145W
806	YLR412W
807	YDR361C
808	YOR294W
809	YER124C
810	YGR081C
811	YML119W
812	YDR448W
