	x
667	YMR007W
668	YPR064W
669	YPR006C
670	YNL183C
671	YHR082C
672	YHL047C
673	YMR135C
674	YKL198C
675	YJL070C
676	YLR273C
677	YHR209W
678	YKL171W
679	YFR014C
680	YNR047W
681	YDR461C-A
682	YDR122W
683	YML118W
684	YKR018C
685	YPR201W
686	YOR177C
687	YCR018C
688	YER169W
689	YML130C
690	YDR090C
691	YJL219W
692	YBL001C
693	YJL068C
694	YBL095W
695	YLL012W
696	YJL067W
697	YNR034W
698	YFL044C
699	YIL086C
700	YDR096W
701	YHL010C
702	YBR298C
703	YDR186C
704	YDR178W
705	YAL063C
706	YLR252W
707	YNL144C
708	YMR160W
709	YOR225W
710	YGR144W
711	YMR077C
712	YBR295W
713	YJR150C
714	YDR345C
715	YFR003C
716	YGR239C
717	YDR271C
718	YLR362W
719	YER162C
720	YDL026W
721	YKL065C
722	YPL057C
723	YOL060C
724	YMR148W
725	YKL217W
726	YPL109C
727	YKL162C
728	YBR284W
729	YDL113C
730	YOR044W
731	YMR253C
732	YPL274W
733	YGR023W
734	YMR085W
735	YOR227W
736	YPL006W
737	YPL277C
738	YPR078C
739	YJL082W
740	YLR177W
741	YDR255C
742	YMR315W
743	YBR062C
744	YMR297W
745	YBL015W
746	YER044C
747	YGL047W
748	YER039C
749	YKR071C
750	YJL043W
751	YCL042W
752	YBR047W
753	YGL045W
754	YIR036W-A
755	YBR108W
756	YPL024W
757	YOL016C
758	YDR034C-D
759	YJR011C
760	YOR136W
761	YMR120C
762	YBR053C
763	YKL197C
764	YIR036C
765	YMR173W-A
766	YLR284C
767	YML120C
768	YNL314W
769	YPR010C-A
770	YDL027C
771	YOR267C
772	YDL091C
773	YJL089W
774	YFL052W
775	YBR126W-A
776	YMR165C
777	YNL266W
778	YLR279W
779	YHR180W
780	YOR023C
781	YPR127W
782	YBR183W
783	YDR369C
784	YDR230W
785	YOL110W
786	YCL034W
787	YCR079W
788	YNL063W
789	YCL049C
790	YDR330W
791	YKL123W
792	YOL044W
793	YPL107W
794	YLR225C
795	YOR344C
796	YDR391C
797	YOR005C
798	YFL019C
799	YMR140W
800	YER182W
801	YDR421W
802	YKR055W
803	YJR059W
804	YOL077W-A
805	YEL033W
806	YHR101C
807	YJR020W
808	YBR045C
809	YDR202C
810	YOR386W
811	YOL156W
812	YKL129C
813	YCR091W
814	YOL087C
815	YMR255W
816	YMR034C
817	YDR231C
818	YGR255C
819	YNL134C
820	YKL193C
821	YER101C
822	YGR143W
823	YOR035C
824	YLR211C
825	YHR205W
826	YFR029W
827	YDR406W
828	YDL200C
829	YEL024W
830	YKL109W
831	YKR096W
832	YLR262C-A
833	YPL150W
834	YDR293C
835	YFL002W-A
836	YGR161W-B
837	YMR284W
838	YGR250C
839	YLR189C
840	YKL100C
841	YLR030W
842	YJL137C
843	YFR019W
844	YJL048C
845	YDR036C
846	YLR031W
847	YML070W
848	YHL008C
849	YLL028W
850	YEL020C
851	YKR058W
852	YGR097W
853	YCR069W
854	YJR051W
855	YDR099W
856	YKL095W
857	YBL050W
858	YDR203W
859	YNL055C
860	YLL027W
861	YOL117W
862	YJL149W
863	YDR104C
864	YJL079C
865	YGL010W
866	YDL138W
867	YFR049W
868	YBR018C
869	YMR030W
870	YDR423C
871	YER020W
872	YER004W
873	YAL037W
874	YLR258W
875	YHR146W
876	YNL125C
877	YGR048W
878	YKR091W
879	YPR002C-A
880	YJR039W
881	YOR363C
882	YMR139W
883	YAL012W
884	YDR512C
885	YNR002C
886	YOR059C
887	YGL009C
888	YNL237W
889	YDR259C
890	YPR172W
891	YMR068W
892	YMR189W
893	YLR151C
894	YJR138W
895	YJL102W
896	YBR225W
897	YOR337W
898	YOR228C
899	YER001W
900	YIL042C
901	YOL025W
902	YBL100W-B
903	YDR275W
904	YBR013C
905	YMR084W
906	YIL125W
907	YGL053W
908	YMR134W
909	YER056C
910	YFL058W
911	YIR025W
912	YER179W
913	YIL135C
914	YPL031C
915	YDR315C
916	YBL096C
917	YOR245C
918	YHR137W
919	YGR044C
920	YJL020C
921	YLR281C
922	YCR107W
923	YNL143C
924	YLR097C
925	YGR223C
926	YGR184C
927	YPL111W
928	YBR204C
929	YPL070W
930	YDL115C
931	YMR056C
932	YLR138W
933	YKR021W
934	YPR093C
935	YJL142C
936	YNL250W
937	YDL194W
938	YOR223W
939	YAL015C
940	YOR360C
941	YCR025C
942	YHL045W
943	YPL152W
944	YBL094C
945	YOR065W
946	YCL044C
947	YCR024C
948	YPL202C
949	YOL100W
950	YOR316C
951	YNL155W
952	YDL248W
953	YKL093W
954	YDL025C
955	YLR361C-A
956	YJR119C
957	YHR105W
958	YGR209C
959	YMR004W
960	YLR119W
961	YGL250W
962	YDR019C
963	YLR256W
964	YGR289C
965	YKL157W
966	YOR007C
967	YDL046W
968	YPL060C-A
969	YIL170W
970	YPR008W
971	YOR107W
972	YLR304C
973	YPL260W
974	YDL035C
975	YDL168W
976	YBR170C
977	YOL138C
978	YPL179W
979	YGL091C
980	YGR175C
981	YMR275C
982	YLR005W
983	YMR311C
984	YML004C
985	YDR151C
986	YPL027W
987	YIL007C
988	YGR028W
989	YIR016W
990	YHR199C
991	YDL123W
992	YDR210W-B
993	YDR254W
994	YBR148W
995	YEL030W
996	YDR261W-B
997	YCL052C
998	YDL180W
999	YDL019C
1000	YDR009W
1001	YGR127W
1002	YBR024W
1003	YMR159C
1004	YMR037C
1005	YPL181W
1006	YIL122W
1007	YLR392C
1008	YML121W
1009	YMR152W
1010	YPL219W
1011	YGL254W
1012	YGL146C
1013	YLR118C
1014	YOR298C-A
1015	YHL044W
1016	YIL159W
1017	YDR287W
1018	YJL110C
1019	YER039C-A
1020	YLL015W
1021	YKL094W
1022	YMR201C
1023	YDR010C
1024	YER061C
1025	YIL006W
1026	YDR173C
1027	YDL078C
1028	YGL197W
1029	YJR148W
1030	YCR026C
1031	YDL170W
1032	YBR226C
1033	YPR158W-A
1034	YOR142W-A
1035	YKL084W
1036	YPL106C
1037	YBR281C
1038	YJR103W
1039	YKL067W
1040	YKL064W
1041	YNL332W
1042	YML018C
1043	YKL066W
1044	YOR137C
1045	YMR154C
1046	YJR091C
1047	YOR113W
1048	YPL206C
1049	YLR425W
1050	YHR080C
1051	YIL036W
1052	YNL040W
1053	YMR272C
1054	YMR262W
1055	YKL168C
1056	YFR023W
1057	YER098W
1058	YFR015C
1059	YIL156W
1060	YPR115W
1061	YHL046C
1062	YDR069C
1063	YER158W-A
1064	YLR007W
1065	YPR185W
1066	YHR195W
1067	YPR145C-A
1068	YDR089W
1069	YOR089C
1070	YHL023C
1071	YJR035W
1072	YDR169C
1073	YPR158C-C
1074	YGL140C
1075	YKL141W
1076	YGR237C
1077	YLR064W
1078	YPR081C
1079	YER010C
1080	YDL206W
1081	YGR183C
1082	YFL020C
1083	YHR198C
1084	YNL331C
1085	YHR214W
1086	YJL199C
1087	YDR058C
1088	YOL099C
1089	YIL014C-A
1090	YIR024C
1091	YLR271W
1092	YMR158W-B
1093	YIL171W
1094	YGL262W
1095	YER038W-A
1096	YLR012C
1097	YPR168W
1098	YBR297W
1099	YGR290W
1100	YFL066C
1101	YJR037W
1102	YIL057C
1103	YLR280C
1104	YEL035C
1105	YGL259W
1106	YGR059W
1107	YDR524C-B
1108	YJL003W
1109	YBR050C
1110	YNL269W
1111	YML089C
1112	YCR001W
1113	YBR266C
1114	YOR339C
1115	YOL037C
1116	YOL132W
1117	YMR141C
1118	YMR135W-A
1119	YHR136C
1120	YKL221W
1121	YAL016C-A
1122	YLR122C
1123	YOR325W
1124	YPR200C
1125	YJR038C
1126	YHR214W-A
1127	YJL015C
1128	YNL318C
1129	YOR394W
1130	YPL282C
1131	YOL085C
1132	YLR156W
1133	YLR161W
1134	YLR159W
1135	YEL049W
1136	YHR193C-A
1137	YDL114W
1138	YGR022C
1139	YEL059C-A
1140	YDR114C
1141	YLR123C
1142	YFL015C
1143	YDR048C
1144	YIL028W
1145	YOR282W
1146	YKL044W
1147	YHR218W
1148	YHR131W-A
1149	YER119C-A
1150	YLR307C-A
1151	YPR012W
1152	YLL067C
1153	YDR218C
1154	YDR535C
1155	YBR064W
1156	YFL051C
1157	YNL339C
1158	YPL136W
1159	YGL033W
1160	YBR224W
1161	YLR269C
1162	YDL185C-A
1163	YER135C
1164	YOR183W
1165	YEL030C-A
1166	YOR343C
1167	YLR202C
1168	YFL062W
1169	YDL196W
1170	YMR254C
1171	YGL177W
1172	YDR269C
1173	YGL182C
1174	YIL102C
1175	YPL261C
1176	YER097W
1177	YBR012W-A
1178	YIR040C
1179	YPL121C
1180	YKL165C-A
